2015-08-18,255.380005,260.950012,253.559998,260.720001,4181900,260.720001
2015-08-17,255.559998,256.589996,250.509995,254.990005,7161700,254.990005
2015-08-14,247.240005,247.929993,241.770004,243.149994,4351700,243.149994
2015-08-13,239.860001,246.479996,239.119995,242.509995,4681700,242.509995
2015-08-12,235.00,239.770004,232.740005,238.169998,3728000,238.169998
2015-08-11,237.149994,239.300003,234.440002,237.369995,4253300,237.369995
2015-08-10,238.149994,242.970001,236.050003,241.139999,4175700,241.139999
2015-08-07,243.580002,243.729996,238.389999,242.509995,5056000,242.509995
2015-08-06,249.539993,255.00,236.119995,246.130005,14611800,246.130005
2015-08-05,263.579987,271.00,260.399994,270.130005,5029700,270.130005
2015-08-04,260.01001,266.720001,258.339996,266.279999,2332300,266.279999
2015-08-03,266.290009,266.709991,257.070007,259.98999,2546400,259.98999
2015-07-31,267.600006,269.359985,265.119995,266.149994,2213300,266.149994
2015-07-30,262.690002,266.940002,262.109985,266.790009,2027600,266.790009
2015-07-29,264.269989,267.890015,262.00,263.820007,2779900,263.820007
2015-07-28,255.75,265.399994,251.839996,264.820007,3877400,264.820007
2015-07-27,262.429993,264.429993,250.789993,253.009995,4684300,253.009995
2015-07-24,267.380005,271.089996,263.920013,265.410004,2824500,265.410004
2015-07-23,269.649994,269.899994,265.269989,267.200012,2214800,267.200012
2015-07-22,261.269989,269.440002,260.859985,267.869995,3092200,267.869995
2015-07-21,270.049988,273.50,266.549988,266.769989,6070300,266.769989
2015-07-20,275.00,286.649994,272.540009,282.26001,4966000,282.26001
2015-07-17,272.50,275.540009,268.25,274.660004,4985200,274.660004
2015-07-16,264.220001,267.200012,263.160004,266.679993,1581100,266.679993
2015-07-15,266.73999,267.48999,262.079987,263.140015,2000600,263.140015
2015-07-14,262.100006,265.98999,260.51001,265.649994,1902100,265.649994
2015-07-13,262.25,262.549988,256.049988,262.160004,2950000,262.160004
2015-07-10,262.220001,263.00,257.820007,259.149994,2603500,259.149994
2015-07-09,259.079987,262.950012,256.790009,257.920013,3325100,257.920013
2015-07-08,259.320007,260.799988,254.309998,254.960007,6210800,254.960007
2015-07-07,275.00,275.200012,260.769989,267.880005,6087400,267.880005
2015-07-06,278.880005,281.690002,276.299988,279.720001,4103500,279.720001
2015-07-02,280.200012,282.450012,273.309998,280.019989,7133100,280.019989
2015-07-01,271.109985,272.619995,267.850006,269.149994,2099700,269.149994
